Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢),Scraped_Date,Year,Month,Day,DayOfWeek,Quarter,IsMonthEnd,IsMonthStart,Daily_Price_Range,Price_Change_Pct,Volatility,Log_Volume,Volume_Change,Log_Value,Avg_Trade_Size,Price_Momentum_3d,Volume_Momentum_3d,Price_Volume_Trend,Bid_Ask_Spread,Bid_Ask_Spread_Pct,Price_Lag_1d,Volume_Lag_1d,Value_Lag_1d,Volatility_Lag_1d,Price_Lag_3d,Volume_Lag_3d,Value_Lag_3d,Volatility_Lag_3d,Price_Lag_5d,Volume_Lag_5d,Value_Lag_5d,Volatility_Lag_5d,Price_Lag_10d,Volume_Lag_10d,Value_Lag_10d,Volatility_Lag_10d,Price_MA_3d,Volume_MA_3d,Price_MA_5d,Volume_MA_5d,Price_MA_10d,Volume_MA_10d,Price_Momentum_1d,Volume_Momentum_1d,Future_Price,Future_Return,Target,Target_Class,Share_Code_Encoded
2025-02-28,ADB,5.06,5.06,5.06,5.06,5.06,5.06,0.0,5.06,0.0,0.0,0.0,2025-08-23 18:33:27,2025,2,28,4,1,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,-5.06,-100.0,5.06,0.0,0.0,0.0,5.06,0.0,0.0,0.0,5.06,0.0,0.0,0.0,5.06,1.0,5.06,0.0,5.06,0.0,5.06,0.0,5.06,0.2,0.0,0.0,5.06,0.0,0,3,5
2024-10-24,ADB,5.06,5.06,5.06,5.06,5.06,5.06,0.0,5.06,0.0,0.0,0.0,2025-08-23 18:33:27,2024,10,24,3,4,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,-5.06,-100.0,5.06,0.0,0.0,0.0,5.06,0.0,0.0,0.0,5.06,0.0,0.0,0.0,5.06,0.0,0.0,0.0,5.06,0.0,5.06,0.0,5.06,0.0,0.0,0.0,5.06,0.0,0,3,5
2024-09-04,GLD,383.54,218.5,381.6,381.6,381.6,381.6,0.0,381.6,0.0,0.0,0.0,2025-08-23 18:33:27,2024,9,4,2,3,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,-381.6,-100.0,381.6,67.0,802.5,-0.015720798616570317,382.6,250.0,802.5,-0.24508525838243667,381.26,250.0,802.5,-0.01311269046183194,369.18,31.0,802.5,0.802752293577981,381.62000000000006,105.66666666666667,382.20000000000005,163.4,381.027,153.3,0.0,-100.0,387.9,1.6509433962264028,1,3,26
2025-05-09,ALLGH,6.12,6.12,6.12,6.12,6.12,6.12,0.0,0.0,6.12,250.0,802.5,2025-08-23 18:33:27,2025,5,9,4,2,0,0,0.0,0.0,0.0,5.5254529391317835,0,6.688977185177567,3.21,0,0,1530.0,6.12,0.0,6.12,250.0,802.5,0.0,6.12,250.0,802.5,0.0,6.12,250.0,802.5,0.0,6.12,250.0,802.5,0.0,6.12,250.0,6.12,250.0,6.12,189.5,0.0,0.0,6.12,0.0,0,3,8
2024-10-03,PBC**,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27,2024,10,3,3,4,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0,3,34
2025-01-06,TBL,0.83,0.83,0.83,0.83,0.83,0.83,0.0,0.83,0.0,0.0,0.0,2025-08-23 18:33:27,2025,1,6,0,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,-0.83,-100.0,0.83,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.83,0.0,0.83,0.0,0.83,0.0,0.0,0.0,0.83,0.0,0,3,42
2024-09-09,GGBL,5.16,3.4,5.16,5.16,5.16,5.16,0.0,4.7,5.16,0.0,0.0,2025-08-23 18:33:27,2024,9,9,0,3,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.45999999999999996,9.787234042553191,5.16,72.0,371.52,0.0,5.16,146.0,753.36,0.0,5.16,250.0,802.5,0.0,5.16,0.0,0.0,0.0,5.16,33.333333333333336,5.16,49.2,5.16,99.4,0.0,-100.0,5.16,0.0,0,3,25
2025-02-13,DIGICUT,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.09,0.0,0.0,2025-08-23 18:33:27,2025,2,13,3,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0,3,19
2025-07-16,CPC,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.0,0.0,0.0,2025-08-23 18:33:27,2025,7,16,2,3,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,-0.02,-100.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,1.6666666666666667,0.02,1.0,0.02,2.0,0.0,0.0,0.02,0.0,0,3,17
2025-05-22,MMH,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27,2025,5,22,3,2,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0,3,31
2024-10-23,ALLGH,6.15,4.4,6.15,6.15,6.14,6.14,0.01,0.0,6.14,250.0,802.5,2025-08-23 18:33:27,2024,10,23,2,4,0,0,-0.010000000000000675,0.16260162601626016,-0.16260162601627112,5.5254529391317835,0,6.688977185177567,3.21,0,0,1535.0,6.14,0.0,6.15,250.0,802.5,0.0,6.15,250.0,802.5,0.0,6.15,88.0,540.32,0.0,6.15,250.0,802.5,0.0,6.146666666666667,177.33333333333334,6.148000000000001,206.4,6.149,212.0,-0.16260162601627112,0.0,6.14,0.0,0,3,8
2024-11-01,SAMBA,0.55,0.55,0.55,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27,2024,11,1,4,4,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0.55,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0,3,36
